LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow,JT1
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,90,141.37,114.85,3,4.51,52.5,0.707363656
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,91,146.71,110.67,3,4.51,44,0.681616795
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,92,162.73,99.77,5,4.51,42.25,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,93,142.01,114.33,3,4.51,41.5,0.704175762
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,94,168.94,96.11,3,4.51,38,0.591926128
AL100,A414 between M1 J7 and A405 (AL100),1/2/13 0:00,95,180.96,89.72,3,4.51,29.5,0.552608311
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,0,172.14,94.32,3,4.51,28.5,0.580922505
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,1,164.22,98.87,3,4.51,30,0.608939228
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,2,174.58,93,3,4.51,24,0.572803299
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,3,143.77,112.93,3,4.51,25,0.695555401
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,4,126.83,128.01,3,4.51,21.5,0.78845699
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,5,166.27,97.65,3,4.51,21,0.601431407
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,6,159.82,101.59,3,4.51,19,0.625703917
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,7,162.75,99.76,3,4.51,17,0.614439324
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,8,151.38,107.25,3,4.51,17.5,0.660589246
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,9,173.09,93.8,3,4.51,18,0.577734127
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,10,152.18,106.69,3,4.51,15.5,0.657116572
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,11,151.8,106.96,3,4.51,19.5,0.658761528
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,12,162.73,99.77,5,4.51,17,0.614514841
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,13,163.19,99.49,3,4.51,21.5,0.612782646
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,14,153.56,105.73,3,4.51,23.5,0.651211253
